Brand,Category,Title,Text,Rating,Date,Source
Boohoo,Fast Fashion,Next day delivery - 13 days and counting!!,"Update: customer service don't refund next day delivery fee £9.99 if you don't receive your order. Avoid this company! 16 years I've used boohoo, never again. Ordered on the 20the of June, paid extra for next day delivery. It's now the 2nd of July 13 days later, still no package. Last Evri update was to say the parcel was delayed on the 21st and I've had nothing since. Contacted support on messenger, had to wait until the 2nd of July. Messaged and heard nothing back. Used to use boohoo all the time won't be using again, terrible company.",1,2026-07-03 13:33:06+00:00,Trustpilot
ASOS,Fast Fashion,Sizing is awful!!!,I used to like ASOS but over the last year or two their sizing is so off. It is awful to be ordering three sizes bigger than you are and it still not fitting. Makes you very insecure. Sizing needs to be more consistent. The material in a lot of their clothes has also gotten worst. Will not be shopping or supporting them again!!,1,2026-07-03 13:14:18+00:00,Trustpilot
Boohoo,Fast Fashion,Very poor customer service,Very poor customer service - paid premier membership but been charged for delivery and returns - not able to speak to anyone and no reply to my email or wattaspp messages- avoid !!,1,2026-07-03 12:58:56+00:00,Trustpilot
Rapanui,Ethical Fashion,Quality clothing and good customer…,Quality clothing and good customer service - a refund was arranged manually via email communication after I’d got in a muddle with the returns procedure ~ my error!  A replacement item for a child’s t-shirt with a hole in a seam was received within 2 weeks. The ladies sizing is on the big side.,4,2026-07-03 12:55:24+00:00,Trustpilot
Boohoo,Fast Fashion,Customer service - Kai,I need urgent tracking information and contacted Kai from Boohoo. They were extremely fast and responsive and gave me all the information I needed!,5,2026-07-03 12:17:27+00:00,Trustpilot
ASOS,Fast Fashion,Ordered yesterday 2/7/26 paid next day…,"Ordered yesterday 2/7/26 paid next day delivery due for delivery today 3/7/26. Shock, asos have not sent the order out with a next day service despite charging me for this. Unable to speak to anyone except an AI chat bot that ends the chat when you ask for a complaints form. This has happened on the 3 previous orders, but thought I’d give them the benefit of the doubt. Should have learnt from past experiences how unreliable asos are! I am now out of pocket again and without my order and ASOS could not care less. You have lost a customer due to the now shocking customer service and unreliability. 1 star AVOID",1,2026-07-03 12:05:27+00:00,Trustpilot
ASOS,Fast Fashion,What is going on with ASOS,"What is going on with ASOS? I use to shop here all of the time, but looking at these reviews, something has obviously changed as the service is now appalling! Placed my order last Sunday, it's now Friday and it still hasn't been dispatched and no sign of it being dispatched! I wanted my order for this weekend, but now it won't be here and it won't let me cancel the order. Absolutely awful service- if there are big delivery delays at the moment, it would be a good idea to inform customers before placing an order, not after! I will never use ASOS again, service is the worst I have ever received, it's such a shame as it used to be a great place to shop.",1,2026-07-03 11:13:26+00:00,Trustpilot
Boohoo,Fast Fashion,two piece outfit missing the top !!,"Tried to contact Boohoo as two piece outfit missing the top! Unable to talk to anyone no reply then got on text with AI meant to be transferred to a person and two days later no response to anything honestly it’s just not worth buying from them because if you do have a problem sadly they do not care! Hi, my order UK1129395740 has arrived but the two piece is missing the halter neck top just the trousers were in the bag Cheesecloth Halter Neck Bandeau & Wide Leg Trouser Co-ord HZZ45358-148-18 Qty: 1 Size: 10 Colour: Navy Status: Dispatched £25.92 Can you please urgently send out the missing item I’m meant to be wearing it tomorrow night ?",1,2026-07-03 09:42:57+00:00,Trustpilot
ASOS,Fast Fashion,Order on Thursday 2nd July 2026 and…,"Order on Thursday 2nd July 2026 and order due for delivery on Friday 3rd July 2026. However, today (Friday) they have emailed to advise of a delay. Scripted customer service employees don’t understand consumer law in order to refund prior to despatch. Clueless incompetent company!!",1,2026-07-03 09:30:08+00:00,Trustpilot
ASOS,Fast Fashion,Disgusting customer service,Disgusting customer service. Sat on the chat bot for over 2 hours. Spoke to 4 different people. One that ignored me for 40mins per message and the ended then ended the chat when I asked for a complaints form. Was then told by two other people they would email me to sort out my return. Still haven’t heard anything. My item I returned was sent back saying it had turnt up with perfume/odour or tags removed. Smells brand new and the tags are still all in tact. Been a valued customer for a long time with asos and always send my items back how they come. And still refusing a refund when there’s nothing wrong with the item. Even asked for it to be sent back and checked again and they said yes and then never sent me returns label,1,2026-07-03 08:25:59+00:00,Trustpilot
ASOS,Fast Fashion,Order never arrived and they are…,Order never arrived and they are refusing a refund. Do not shop here whatever you do they are so awful,1,2026-07-03 03:01:32+00:00,Trustpilot
ASOS,Fast Fashion,The pits. What has happened to ASOS?,Can’t speak to anyone who knows what they’re doing. Delivery is so slow. Can’t believe they’re still in business. Never again.,1,2026-07-03 00:55:39+00:00,Trustpilot
Boohoo,Fast Fashion,Do not trust this clothing site,"Do not trust this clothing site - they are money grabbing and do not care about their customers! Myself, and 2 friends have all experienced the same issue this year- we've all ordered items next day delivery, been sent the wrong item, waited days for customer service to respond, to then be refused refunds! And refused our next day delivery fee back! You wait days to speak to a robot as they use robots for customer service, there is no way to speak to a human and get support. Such a shame as it used to be a decent store. Now it seems to be money grabbing and no care for the consumers. Spoken to others who are having the same issue, we've all refused to shop there now. Shame on you boohoo, do better! Formal complaint underway.",1,2026-07-03 00:38:45+00:00,Trustpilot
Boohoo,Fast Fashion,BOYCOTT BOOHOO AT ALL COSTS !!!!,BOYCOTT BOOHOO AT ALL COSTS !!!! if you don’t want to be fleeced by this useless retailer steer well clear,1,2026-07-03 00:33:16+00:00,Trustpilot
Boohoo,Fast Fashion,Ordering work pants for my husband goes wrong,"So I ordered items for my husband. The free shipping and coupon code Soccer 10 didn't work. No worries purchase anyway because my husband needed work pants. Well after waiting about 7-10days got a package and it wasn't what we ordered! I reached out to them and tell them. They just said return items and they will issue refund, then I have to order items all over again! Not only have we waited for nothing, we have to wait upto 14days for the refund? And you want me to recorder at the current high price and no compensation or credit was given for this inconvenience. I wasted my time and energy getting shipping envelope sleeve and gas to take it up there. But got nothing in return but higher prices and money in limbo!And they charge you $10 to refund your items. Customer service calming it would be waived and return but I don't trust nothing they say anymore. I ordered from this site several times before, never had a issue! They just lost a loyal customer!",1,2026-07-02 23:27:03+00:00,Trustpilot
Boohoo,Fast Fashion,Beware 3rd party purchases,"I’ve had to pay postage to receive my order, postage to return a faulty item and again to reorder with no help from boohoo because it’s a 3rd party seller.",1,2026-07-02 20:58:04+00:00,Trustpilot
Rapanui,Ethical Fashion,Great customer service,Great customer service. Max was very helpful and friendly!,5,2026-07-02 20:03:38+00:00,Trustpilot
Boohoo,Fast Fashion,Awful,"Awful, tacky and thieves Please do not get BooHoo premium as it is absolutely useless! What is the point if we cannot use boohoo on all items then show for sale on tebir website!? On top of thay they said will deduct 1.99 per order we return if it is from 3rd port sellers. They have decided almost £3 per item i returned even tho I returned them all as one parcel! They are absolutely unbelievable! Thieves! I will work on deleting my account now and make sure to never buy frkm this awful branc@",1,2026-07-02 19:11:19+00:00,Trustpilot
ASOS,Fast Fashion,Lied about offering me free express shipping and charged me for it,"Due to them damaging my package, they advised me if I paid for express shipping of €15.00 euro for the next package they would refund me it. Fast forward and they said they wouldn’t be able to do that even though I had all the proof they said to re order and would….",1,2026-07-02 19:05:16+00:00,Trustpilot
ASOS,Fast Fashion,Terrible experience from start to…it,"Terrible experience from start to finish. Placed order middle of May, received no order confirmation, PayPal took the payment immediately. Received no notification. Or order being sent. Waited few days contacted ASOS on chat and told order wasn’t received there end and must of been a computer glitch, I advised payment taken and was told would need to raise with PayPal and place order again. I placed order again and raised dispute with PayPal, Piecemeal responses received from ASOS through the PayPal dispute and then my original order suddenly arrives on the doorstep closely followed by my second order. Tried to return my one order as don’t need 2 and most painful experience ever trying to get this sorted as ASOS had no record of my order so didn’t show an order number in my account, then sent me QR codes that were to big to print off or screenshot. Finally got it right and retuned order, no refund received, waited the 2 weeks quoted for returns to be made contacted ASOS again on chat and after another extensive painful exercise to locate my return I was advised my refund had failed! No explanation as to what this meant or timeline given as to when my monies will be received I was simply told it would be looked into and escalated and I would hear something by email. Absolutely disgusting, still no refund or response from ASOS. Trading standards now being contacted and will be pursuing for compensation for breach of ASOS company terms and any interest lost from delayed payment. I would advise anyone thinking or ordering with this company to avoid at all costs they haven’t got a clue what they are doing and the customer service support is non existent",1,2026-07-02 16:51:06+00:00,Trustpilot
ASOS,Fast Fashion,Been a loyal asos user for a long time,"Been a loyal asos user for a long time. Customer service was always great. Used to be ""wrong item sent? Sorry about that heres a gift card for the inconvenience"", now its ""wrong item sent? Hahaha you have to pay for the return because your return ""score"" is too low because we keep sending things incorrectly! Hahaha"". Standard delivery 3-5 days you say? Oh we'll send it whenever we feel like, and you cant cancel it so just send it back at your own expense and we'll take the money for delivery and also lower your ""score"" even more despite not fulfilling our side of the sale agreement. Greedy and sloppy.",1,2026-07-02 16:23:42+00:00,Trustpilot
Rapanui,Ethical Fashion,Six stars!,"As always, an excellent experience with Ranapui. Exceptional products and great customer service. Highly recommended.",5,2026-07-02 14:57:09+00:00,Trustpilot
ASOS,Fast Fashion,They really need to allow us zero star…,They really need to allow us zero star option on here! What can I say about ASOS??? Avoid it? Don't waste your money? They lie? They cheat? They mislead customers? Just be careful using ASOS. If you can go with another provider then do so.,1,2026-07-02 13:55:57+00:00,Trustpilot
Boohoo,Fast Fashion,Avoid! Item didn’t arrive & poor customer service,"I ordered a bag for my daughter’s prom well in advance, but it never arrived. Boohoo’s online‑only support was slow and mostly automated, and despite asking for a replacement, they only offered a refund. After weeks of chasing, the refund finally came — but no bag, no urgency, and no accountability. I won’t order from them again .",1,2026-07-02 11:56:13+00:00,Trustpilot
ASOS,Fast Fashion,missing order and refusing to refund!!!!!,I ordered 3 dresses from them and they never arrived. I have contacted them and its only a stupid ai or chat function and you can't speak to a real person.They keep saying someone will get back to me  but dont. I now have to contact my bank as ive ordered may even be fraudulent.  they never used to be this bad. Don't use. they are SO Awful!!!!!!,1,2026-07-02 10:37:22+00:00,Trustpilot
ASOS,Fast Fashion,failed deliveries,"Placed an order, delivery failed twice despite me being at the delivery address. Parcel returned to ASOS with no option to get it back to me. I have to wait for the return to be processed and then re-order. No customer service available other than Ai chat. Won't be using Asos again",1,2026-07-02 10:09:11+00:00,Trustpilot
ASOS,Fast Fashion,Cannot cancel order,"Order placed on Sunday, 3-5 working days delivery, means Wednesday to Friday, right? Wrong, it’s now Thursday  and there’s order hasn’t updated at all. Contacted ASOS and they said they cannot cancel the order as it moves quickly through an automated robotic picking system that they cannot intervene with. But it hasn’t moved quickly if it’s still not dispatched! They then kept saying it’s in transit so cannot cancel, but it’s not in transit. Story kept changing. All I wanted was to cancel the order. Simple request.",1,2026-07-02 09:44:39+00:00,Trustpilot
ASOS,Fast Fashion,The quality of ASOS clothing has…,"The quality of ASOS clothing has declined significantly over the past few years, while prices have continued to increase. Many items feel cheaply made, and the sizing is often inconsistent, which results in more returns. Another issue is that many products don’t have customer reviews. Reviews are essential when shopping online because they help customers decide on the quality and fit before purchasing. Without them, it’s much harder to make the right choice. ASOS has now started charging me for returns because my return rate is considered too high. However, when the quality is poor, sizing is inconsistent, and there aren’t enough reviews to help customers make informed decisions, it’s unfair to penalise customers for returning unsuitable items. I used to buy and keep far more items in the past, but the decline in quality has made me shop there much less.",1,2026-07-02 00:15:36+00:00,Trustpilot
ASOS,Fast Fashion,Openly breaking UK law,So my premier was set to auto renew and they took payment. I hopped on chat to cancel. Their website states within one month and not used it you can cancel. The chat advisor said the same thing. The chat adviser then proceed to refuse to refund and instead tried to trick me into cancelling it from auto renewing in a years time. I explained I wanted a refund and for the impending membership not to renew. The chat support said they couldn't do that. I stated it was my right under UK law to cancel.  They said they would not refund Will be doing a charge back and reporting then to trading standards.,1,2026-07-01 23:55:38+00:00,Trustpilot
ASOS,Fast Fashion,What jokers! 😡,"I ordered a belt for a birthday gift, paid £4.50 for postage nearly a week later still not here. Had no confirmation email until yesterday!! Now they are saying it’s running late. I now find out I have to wait another week!!!! NO ONE CARES!!! Looking at all these bad reviews I’m shocked that they are actually still running 🤷🏻‍♀️ I will never use them again & would advise everyone else not to bother either! What a joke!!!!",1,2026-07-01 22:37:31+00:00,Trustpilot
ASOS,Fast Fashion,What has happened to ASOS,"They have gone down hill lately, I always have credit balance due to gift cards and have never had issues with delivery till now. You cannot get next day so why pay the subscription. Such a shame as used to be so good.",1,2026-07-01 22:32:34+00:00,Trustpilot
ASOS,Fast Fashion,disgusting customer service,"disgusting customer service, delayed my order, refused to let me cancel it as order delayed after their cancellation window, refused to exempt me from having to pay the return delivery fee, their whole return rate % is appalling anyway as their size guides are never accurate. ASOS do not care about their customers what so ever. will never order from them again.",1,2026-07-01 21:19:42+00:00,Trustpilot
ASOS,Fast Fashion,A COMPANY THAT DOESN'T CARE,"Almost 200,000 reviews, all of them awful, (and not one review replied to as you would expect with a decent  professional company), says it all. The demise of ASOS cannot be far away, what a shame. ASOS dropped almost their entire 'Tall' range 2-3 years ago, and now do not even offer a tall size t shirt, long or short sleeve. I used to spend over £1000 a year with ASOS, now however I cannot order a single thing because ASOS no longer sell tall staples.",1,2026-07-01 18:26:50+00:00,Trustpilot
ASOS,Fast Fashion,Horrible experience and not sure if…,"Horrible experience and not sure if incompetence of customer service or Asos has bad technical support. I lost my access to social media, and this is how I used to log in in to my Asos account where I already payed for premier delivery and Asos customer service said that there is nothing they can do to recover my account. Then and there I decided to delete their app and never gonna order from them again. How is it possible a company so big it does not have offer support with this issue? It is absolutely unacceptable.",1,2026-07-01 18:06:25+00:00,Trustpilot
Boohoo,Fast Fashion,Not impressed at all,"Not impressed at all! I pay for next day delivery on an order only for it to go missing, and I will not have the shipping company blamed for it because I use them on a daily basis and there are amazing. When I finally got through to a bot I did manage to get it sorted only for the item to arrive looking quite frankly used screwed up in a ball and not worthy of a jumble sale.",1,2026-07-01 16:47:32+00:00,Trustpilot
Boohoo,Fast Fashion,I ordered 2 dresses after moving house,"I ordered 2 dresses after moving house. I saw on the order the address was my old one so I amended. However when the order went through it showed my old address. I contacted customer service immediately to amend the order and they said I couldn’t, despite there being no way it had been packed. They said I had to contact the new tenants to pick it up and if they chose to keep the items there is nothing they can do. It’s absolutely ridiculous that there isn’t any way or even amending the address once bought and I’ve probably lost all of that money now. They escalated it to someone who just said the exact same thing. Very frustrating. Definitely won’t shop here again.",1,2026-07-01 14:56:59+00:00,Trustpilot
ASOS,Fast Fashion,They charge a refund fee for a faulty…,"They charge a refund fee for a faulty item LOL, customer has to pay a fee, for a refunded faulty item, what a JOKE of a company, customer care is also litteral garbage, was told by a employee to search the information for myself, so what’s the point of having customer care?",1,2026-07-01 13:57:57+00:00,Trustpilot
Boohoo,Fast Fashion,Boohoo has massively gone down hill,"Boohoo has massively gone down hill! I purchased an item on their website - this was then delivered by a concessions partner of theirs. Long story short , I didn’t like the item and needed to return it (unworn) was told to contact the concessions partner directly (SVNX) who refused my return and stopped replying to my emails. Why? Because it supposedly says on their website that you cant make returns to fascinators. Why would I have looked on their website when it was purchased via Boohoo? lol Not to mention everytime I really to Boohoo to their customer service chat a new person responds and asks the same questions over and over which is MADDENING!! I have now gotten this money back via my bank but I would NEVER purchase from boohoo again and u shouldn’t too unless u want stress and to be robbed",1,2026-07-01 13:54:27+00:00,Trustpilot
Rapanui,Ethical Fashion,So nice to have sizes that fit well,"So nice to have sizes that fit well, not like other companies where size M is now more like size S. Lovely quality and ethos.",5,2026-07-01 13:47:59+00:00,Trustpilot
Boohoo,Fast Fashion,Easy help very simple and they respond…,Easy help very simple and they respond fast and it helps alot thank you kai for your very good job keep it going!,5,2026-07-01 13:10:14+00:00,Trustpilot
ASOS,Fast Fashion,I wouldn't even give them 1 star,"I wouldn't even give them 1 star! I placed an order on 28 June and paid for expedited delivery. As of today (1 July) I receive an email telling me they are busier than usual so my parcel won't arrive until 6th July - the day I go on holiday. Their customer service reps refuse to help and refuse to cancel the order because ""I have not met their cancellation deadlines"" - how can I meet a deadline that they themselves have broken! So the parcel will arrive and no doubt be thrown on my doorstep. I then have to wait until after my holiday to pay to return the parcel and wait for a refund!! I tried to make a complaint but apparently they don't acknowledge complaints, they only take it as ""feedback"". Fine, my complaint will be sent to whatever senior persons I can find online. I am sick of this company, they have all their demands re. Return % rates and charges, but cannot even meet delivery times for people who placed orders in good time and faith. Worst thing is - they will allow me to place the order again and select ""next day delivery""!!! So I'll have to pay another delivery fee, wait on a return and pay the return fee. Asos are a horrible, disgusting company who wont have any more orders from me. The sooner people stop using them and play them at their own game, the better.",1,2026-07-01 12:35:29+00:00,Trustpilot
Boohoo,Fast Fashion,Great customer service from Kai,Great customer service from Kai. Question answered quickly. Hopefully no problems with my order now.,5,2026-07-01 10:56:58+00:00,Trustpilot
Finisterre,Ethical Fashion,Top Notch!,"The customer service I received was top notch. Very quick responses to every email, very helpful, supportive and sympathetic and a fab resolution. Couldn’t have been better. Thanks again.",5,2026-07-01 10:42:58+00:00,Trustpilot
Missguided,Fast Fashion,The worst company,"The worst company, returns are a scam the warehouse was closed and they did not accept the return delivery DO NOT ORDER FROM HERE",1,2026-07-01 09:57:17+00:00,Trustpilot
Boohoo,Fast Fashion,Kai was very helpful and quick to…,Kai was very helpful and quick to respond to my queries,5,2026-07-01 09:38:10+00:00,Trustpilot
ASOS,Fast Fashion,I bought a long gilet from ASOS in…,I bought a long gilet from ASOS in January and  after a few months the zip stopped working. So I contacted them and said I know I was out of the refund policy however it should last a lot longer than a few months So they told me to return it which I did . They then said as you are out of the return policy and it smells of perfume and has dirt on they can’t do anything and returned it to me. It did smell of perfume but was not dirty and they knew it had been worn.I was very disappointed with the customer service and thought a large brand like that would be more accommodating. It has put me off shopping there again .,1,2026-07-01 08:35:08+00:00,Trustpilot
Boohoo,Fast Fashion,Never again,"The service seem nice, however the overall experience is awful. Paid extra for next day delivery, but they sent the wrong item. But when returned there was a fee deducted for the return, and the delivery cost was over looked. Nevertheless, still havent received the refund of what ever is left despite being assured the refund is on its way. Never again with boohoo. Such a shame.",2,2026-07-01 01:28:27+00:00,Trustpilot
Boohoo,Fast Fashion,Contacted Boohoo on there WhatsApp…,"Contacted Boohoo on there WhatsApp group I got a response straight away with a very helpful response and the question answered quickly, great customer service from Kai",5,2026-07-01 00:41:20+00:00,Trustpilot
ASOS,Fast Fashion,Appalling customer services/ refund issues,"I have been an ASOS customer for years. It’s my go to website for buying clothing.  I recently purchased four prom dresses for my daughter knowing that I would be sending three back! Two were sent back with no issues, the third which was purchased through their marketplace didn’t have a returns slip so emailed ASOS and they said would have to contact the company to which o said I have no details, ASOS then sent me the form to send back to them and they would send on-this process took a good few days as nothing seems to get resolved easily! Fast forward four weeks and finally they have stated that they have refunded my account but they haven’t! They used an old account which I haven’t used in years and are refusing to refund into the bank account (active) on my ASOS! I’m so frustrated with all the ai chats (which I have screenshotted) I just want my money back! I will no longer being using ASOS after this as the customer service has been absolutely diabolical!",1,2026-06-30 22:21:47+00:00,Trustpilot
Boohoo,Fast Fashion,Awful!,"Awful! Everytime I order lately, there is an issue with the return. They say you have returned less items than you have, try to give you less money, and also try to give you credit when you have opted for original payment method! There on the scam! No contact number, no live chat. When you message, they don’t even read the messages properly. I’m going to be closing my account. Too much hassle, shouldn’t be this hard when your return.",1,2026-06-30 22:14:49+00:00,Trustpilot
ASOS,Fast Fashion,I requested a return and followed TOS's…,"I requested a return and followed TOS's instructions exactly. Their customer service told me to return the parcel to one of their partner stores, but they never informed me that I should obtain a tracking number or any proof of return. The store also did not provide me with any receipt. The parcel was lost after I handed it over to their authorized return partner. Now TOS refuses to refund or compensate me, even though I followed their return process exactly as instructed. I believe customers should not be held responsible for failures in a company's own return system. This has been a very disappointing experience, and I hope TOS improves its return process and customer support.",1,2026-06-30 20:34:09+00:00,Trustpilot
ASOS,Fast Fashion,My first order was returned to ASOS…,"My first order was returned to ASOS because of an issue involving their shipping partner, APG eCommerce, and I never received my package. I gave ASOS another chance and placed a second order, but the exact same thing happened again. My order was returned instead of being delivered. What makes this even more frustrating is that I still have not received my refund. I’ve tried contacting support through the AI chatbot multiple times, but I have not received any useful information or a clear update on my case. I also couldn’t find a way to contact them directly by email, which made resolving the issue feel impossible. After two failed orders, no successful delivery, and ongoing difficulty getting support and a refund, this has been an extremely disappointing experience. Based on what happened, I will not be ordering from ASOS again.",1,2026-06-30 18:55:46+00:00,Trustpilot
Rapanui,Ethical Fashion,I ordered a couple of items in a size…,I ordered a couple of items in a size 14. The boxy t shirt was ok but the boat neck top was far too big. I returned this asking for a size 12 replacement. When the replacement arrived they had replaced the t shirt. I contacted customer service and they got back to me saying correct replacement would be sent and to keep the wrongly supplied t shirt. Customer service was excellent in correcting this over and above. Thank you.,5,2026-06-30 18:18:20+00:00,Trustpilot
Lucy & Yak,Ethical Fashion,Love this clothing line,"The products are of amazing quality. Love this store. Shipping to Canada took a while, but tracking was available to see it on its way.",5,2026-06-30 16:09:26+00:00,Trustpilot
Boohoo,Fast Fashion,Worst Refund Process ever for boohoo mistake,"Boohoo Australia sent me my wedding shoes in UK sizing so they were huge, I tried to explain the mistake and eventually they sent me a label to return, it’s been a month with no refund and when emailing them they asked for proof of return, for a label they sent me. Still no refund, very frustrating, I won’t ever purchase from them again.",1,2026-06-30 15:24:08+00:00,Trustpilot
ASOS,Fast Fashion,Refund not issued,"I bought a few dresses to look at for a wedding, all from ASOS.  When they arrived they were from a variety of 3rd parties.  So when I went to return them I had to send back multiple parcels and check each seller was refunding me.  To refund one of them (NA-KD) I contacted ASOS to ask what to do as this retailer's information was not on their website.  They told me to use the return label provided and said I needed to do nothing else. When I then did not get the refund I contacted ASOS who said without proof of postage they wouldn't track this item for me.  I pointed out that the return label was provided by the seller so they would have that information and be able to track it but they point blank refused.  I explained the previous ASOS chat colleague had not said I needed to get the proof of postage, but again they just said there was nothing they could do.  If they can't even track what their 3rd party are doing or hole them accountable then this is not a provider I will ever use again.",1,2026-06-30 14:40:08+00:00,Trustpilot
ASOS,Fast Fashion,I am absolutely disgusted by this…,"I am absolutely disgusted by this company, I’ve been a loyal customer for many years. I will never shop with ASOS again as long as I live. The two items in question were not worn. In fact, they were not even tried on. They were removed from the packaging, inspected, and immediately repackaged because the quality was so poor that I knew straight away they were being returned. To suggest that they have been “used” is completely false. They were returned in the exact same condition they were sent to me, and they were sent back within 24 hours of receiving them. I refuse to accept that I should have to pay for items that were returned immediately and have not been worn. Your allegation that they are in a “used and unsuitable condition” is simply untrue, and I expect you to provide clear photographic evidence showing exactly what you believe constitutes this so-called damage or use. A generic rejection is not acceptable. This has been an incredibly disappointing experience. Not only was the quality of the items far below what was advertised, but now I am being accused of returning worn clothing when that is categorically untrue. I expect this decision to be reviewed immediately and my refund processed without any further delay. If you continue to refuse my refund without providing evidence, I will have no hesitation in escalating this matter further through my payment provider and the relevant consumer protection channels. Frankly, your handling of this matter is unacceptable. I’m fuming. Rejection reason: Item returned in a used and unsuitable condition",1,2026-06-30 13:13:29+00:00,Trustpilot
ASOS,Fast Fashion,My package was being delivered to the…,"My package was being delivered to the wrong address (which I had forgotten to change). I tried contacting customer service, and was redirected to their website or live chat. Their website is as not helpful as it did not have my problem on their questions. When I went to live chat (which is just a AI bot by the way) it was not helpful at all. In the past when this has happened to me to other companies like Space NK, the staff were soo helpful and I was able to get the problem sorted out straight away. I think it’s ridiculous a big company like ASOS does not have a solution to this or even real people that can help me out with my problem or even other niche problems.",2,2026-06-30 10:53:14+00:00,Trustpilot
Boohoo,Fast Fashion,Awful company to deal with,"Bought 4 items. Returned 3. They charged me £1.99 to return each item plus the £4.99 which I knew id have to pay. Took over a month to get a refund on 1 item because it came from a third party. You cannot contact them only by WhatsApp or messenger. You might be lucky to get a real person and then they don’t understand you. I did email them through a complaints email. I’ve now asked them to delete my account (guess what I’m still waiting for a reply) I will never use this company again, absolutely appalling to deal with.",1,2026-06-30 09:50:25+00:00,Trustpilot
Boohoo,Fast Fashion,I ordered some shoes a couple of months…,I ordered some shoes a couple of months ago and the wrong size came I sent them back and didn’t get a refund Still waiting for a refund after the 2nd and 3rd attempts will not be using boohoo again,1,2026-06-30 09:35:06+00:00,Trustpilot
Boohoo,Fast Fashion,Horrendous customer service,"I used to love boohoo, but they have gone so downhill. The quality is often poor but the main problem is their appalling customer service. You can't speak to anyone, you can't contact a manager on chat. You are faced with bots and then humans who just don't listen to what you are saying. After I finally manage to get rid of the voucher I own, I won't be shopping with them again. I bought several items with a £30 voucher and cash, wanted to keep a £50 dress and return the rest but they are insisting on refunding the gift card before any cash, so I now have to return the entire order, lose more money from delivery and returns costs, and reorder the exact same dress again, just to use the gift card. Absolutely ridiculous, and just one of many problems I've had with them over the years",1,2026-06-30 07:52:47+00:00,Trustpilot
ASOS,Fast Fashion,Good luck getting past the bots,"Good luck getting past the bots. When you do, you’re talking to an agent who is also in 10 other conversations, so replies are 10+ minutes. They don’t understand English (sorry but it’s true) and all replies are copy paste. Worst customer service, I’ve never had a good experience and it completely puts me off shopping at asos. They sent me the incorrect item and I’ve spent 30 minutes chasing it. They offered a replacement or refund. I requested replacement, and then was refunded less than I paid for it. What?!",1,2026-06-30 05:33:17+00:00,Trustpilot
Boohoo,Fast Fashion,Appalling returns management.,Appalling returns management. This is the second time I've ordered products that I have needed to return and the process has been complicated both times. They make you pay to return product and then don't issue the refund. InPost confirmed return was made on 15th June and I'm still waiting for my money back. It's really poor customer service and I will not be ordering again!!,1,2026-06-29 23:49:04+00:00,Trustpilot
ASOS,Fast Fashion,Not able to self-clear Packages,"I've been an ASOS customer for over 15 years. With my recent order, I was asked to pay import duties and taxes of about 35% of the package value through your new carrier, Asendia. Previously, with UPS, I paid the duties and taxes directly to the CBSA, which came to about 15% of the package value. I tried to contact Asendia, but their website doesn't provide any contact option. It would be nice to still have the option to self-clear our packages.",1,2026-06-29 22:30:40+00:00,Trustpilot
ASOS,Fast Fashion,Worst Service in the UK,"Honestly where to begin. In simple terms stay away and buy elsewhere. I am sure ASOS are great if all is well but if something goes wrong they’re maybe the worst company in the UK. I bought a pair of timberland boat shoes and had them 7 days when the laces snapped and the leather separated. I wore them twice both in sunshine There so bad when I emailed timberland (The manufacturer) they said sorry and there faulty. ASOS instead said “due to the time passed since you've had the items would lead to this being down to wear and tear rather than a manufacturing fault rain can pull out the natural oils as it dries, shifts the dyes, and can cause stiffening or warping” What a load of nonsense. I emailed back the evidence timberland emailed me and asked that asos contact them. Guess what ASOS have ignored me and three emails later still nothing from them. They don’t care and are money grabbing thieves stay away",1,2026-06-29 21:12:26+00:00,Trustpilot
Boohoo,Fast Fashion,Their Customer Service is a nonsense,"It took more than 10 days of daily texts with the CS to solve my issue: I needed return labels that I could not get by email. They don’t give any support ticket, so you have to wait, wait, wait for a reply from a human after tearing your hair out because you keep meeting KAI, K for Knucklehead! AI assistant. I gave a 2 because at last and by chance I came across Cory who understood my request and sent in no time those long-awaited labels. Thank you Cory!",2,2026-06-29 19:31:40+00:00,Trustpilot
Boohoo,Fast Fashion,Awful company,"I ordered the exact same pair of joggers in the same size that I’d bought around three months earlier. The original pair fit perfectly, but the new pair was significantly different in size despite being labelled identically. Because of the inconsistent sizing, I had to pay to return the item after already paying for delivery. I contacted customer service explaining that this wasn’t a case of ordering the wrong size, but a product consistency issue. Rather than acknowledging this or offering any goodwill gesture such as a discount code or free shipping on a replacement, I only received generic responses refusing any compensation. Very disappointing experience for a returning customer.",1,2026-06-29 19:19:59+00:00,Trustpilot
