Brand,Category,Title,Text,Rating,Date,Source
ASOS,Fast Fashion,Never had an issue,Never had an issue. My go to online shopping place,5,2026-07-06 21:22:13+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,I ordered some trousers which arrived…,I ordered some trousers which arrived on time. The colour seemed very different to the website,4,2026-07-06 21:19:41+00:00,Trustpilot
ASOS,Fast Fashion,If I could give zero i would,"If I could give zero i would - ordered two of the exact same dress both in a size 12 but different colours - they were 5 inches in bust width difference! One was perfect (as I am a 12) and the other i couldn't even get over my head - when i check the measurement for the dress on their website, one was a 12, the other a size 4! Contacted asos to asked for a postage discount as didnt feel fair i pay another postage (plus the return fee) and they ""did not deem this their fault as both dresses were labelled a 12""...like if it was labelled a cat would they dispute it wasnt a dress?? Also that ""sizing is a guide only""... Asos used to be a great company...",1,2026-07-06 20:59:14+00:00,Trustpilot
ASOS,Fast Fashion,A trusted retailer. Happy to help when things arent right,I ordered an item which unfortunately wasnt suitable. This review is reflecting the excellent customer service I received to be able to return the item without any issues. It was quick and easy. I didnt have a printer to be able to print the returns label. No problem  they sent me a QR code to get it printed at the post office. Thankyou for a good returns experience.. I will purchase from asos again and recommend it as a trusted retailer,5,2026-07-06 20:51:52+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Lovely garments … delivered promptly to…,Lovely garments … delivered promptly to local store for easy collection!,5,2026-07-06 20:20:55+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,"Delivery was on time ,order was fine","Delivery was on time ,order was fine",5,2026-07-06 19:44:37+00:00,Trustpilot
ASOS,Fast Fashion,Worst customer setvice experience ever,Worst customer service experience ever. They hired people who do not speak English which is okay because AI exists but these people still do not understand the problem. Asos sent me this email which is supposed to be in Dutch. I do not understand anything. Please fix this !!!,1,2026-07-06 19:32:42+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Ordering was easy and dress delivered…,Ordering was easy and dress delivered fairly quickly. Sadly the dress was unsuitable due to the very large arm holes! Before I even tried it on I knew it was unsuitable because it looked a peculiar shape. The return was easy . Hopefully the refund will in my account soon. I do like Sea Salt clothes so I will use them again,3,2026-07-06 19:32:08+00:00,Trustpilot
Boohoo,Fast Fashion,First time returning a parcel to Boohoo…,First time returning a parcel to Boohoo and with Kai's help it seems easy enough. Thanks for the advice Kai. You were very helpful.,5,2026-07-06 19:25:13+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Friendly staff,"Friendly staff, love the styles, fit & linen collection.",5,2026-07-06 19:21:38+00:00,Trustpilot
