Brand,Category,Title,Text,Rating,Date,Source,Clean_Text
Seasalt Cornwall,Ethical Fashion,Shopping with Sea Salt is a joy from…,"Shopping with Sea Salt is a joy from start to finish, from the stores or website it's so easy and straightforward.",5,2026-07-05 21:31:01+00:00,Trustpilot,shopping sea salt joy start finish store website easy straightforward
Seasalt Cornwall,Ethical Fashion,Great cut,"Great cut, natural fibers, nice dress",5,2026-07-05 21:30:36+00:00,Trustpilot,great cut natural fiber nice dress
Seasalt Cornwall,Ethical Fashion,Good designs,"Good designs, plenty of info. lovely photography.  Speedy delivery.",5,2026-07-05 21:23:57+00:00,Trustpilot,good design plenty info lovely photography speedy delivery
Seasalt Cornwall,Ethical Fashion,Perfect fit but material very thin,"Perfect fit but material very thin, almost see-through hence only 4 stars.",4,2026-07-05 21:01:29+00:00,Trustpilot,perfect fit material thin almost seethrough hence star
Seasalt Cornwall,Ethical Fashion,I really like Seasalt clothing,"I really like Seasalt clothing. Although I live abroad, I particularly like the floral dresses which remind me of Cornwall, where I was born.",5,2026-07-05 20:57:28+00:00,Trustpilot,really like seasalt clothing although live abroad particularly like floral dress remind cornwall born
Seasalt Cornwall,Ethical Fashion,Really fabulous clothes,"Really fabulous clothes , great quality and a speedy delivery",5,2026-07-05 20:42:05+00:00,Trustpilot,really fabulous clothes great quality speedy delivery
Seasalt Cornwall,Ethical Fashion,The product is very comfortable and…and elegant,The product is very comfortable and they keep you informed of delivery and we’re in transit,5,2026-07-05 20:20:23+00:00,Trustpilot,product comfortable keep informed delivery transit
Seasalt Cornwall,Ethical Fashion,Very comfortable and cool dress,"Very comfortable and cool dress, ideal for hot weather",5,2026-07-05 19:56:19+00:00,Trustpilot,comfortable cool dress ideal hot weather
Seasalt Cornwall,Ethical Fashion,I bought 2cardigans in different sizes,"I bought 2cardigans in different sizes, choose the one I wanted to keep and it was so easy to return.  Love the colour and style, have put it away untiil the autumn.",5,2026-07-05 19:53:09+00:00,Trustpilot,bought cardigan different size choose one wanted keep easy return love colour style put away untiil autumn
Seasalt Cornwall,Ethical Fashion,Quality product as picture,"Ordered in the sale - it m came in few days wrapped nicely, quality of product brilliant, packed in recyclable packaging- was notified on delivery Great experience",5,2026-07-05 19:22:22+00:00,Trustpilot,ordered sale came day wrapped nicely quality product brilliant packed recyclable packaging notified delivery great experience
Seasalt Cornwall,Ethical Fashion,Easy to order.Delighted with purchase,Easy to order.Delighted with purchase. Thank you,5,2026-07-05 18:18:51+00:00,Trustpilot,easy orderdelighted purchase thank
Seasalt Cornwall,Ethical Fashion,Easy to use website,Easy to use website. Quick delivery. Good quality items as described.,5,2026-07-05 18:13:20+00:00,Trustpilot,easy use website quick delivery good quality item described
ASOS,Fast Fashion,Asos premier customer and I am supposed…,"Asos premier customer and I am supposed to get next day delivery but this consistently never happens. Tried to speak to a handler via the online chat. Extremely slow service. I actually asked if he was hand delivering my parcel himself as he was taking that long to answer! He basically said ""not our fault... carrier delays... weather issues... blah blah blah"". Nothing helpful. Took no ownership for the issues even though my contract is with asos, not the carrier. Then said to me ""Ive done what I can so im ending the chat"". Tried a new chat with someone else who just said ""we will be sure to pass on the feeback"". Poor poor service.",1,2026-07-05 18:12:17+00:00,Trustpilot,asos premier customer supposed get next day delivery consistently never happens tried speak handler via online chat extremely slow service actually asked hand delivering parcel taking long answer basically said fault carrier delay weather issue blah blah blah nothing helpful took ownership issue even though contract asos carrier said ive done im ending chat tried new chat someone else said sure pas feeback poor poor service
Seasalt Cornwall,Ethical Fashion,Stylish but not too trendy Colour…,Stylish but not too trendy Colour exactly as shown . Fabric lovely and soft and above all eco friendly!!,5,2026-07-05 18:09:56+00:00,Trustpilot,stylish trendy colour exactly shown fabric lovely soft eco friendly
Boohoo,Fast Fashion,Tegan was a great help,"Tegan was a great help , everything was sorted in no time 👍",5,2026-07-05 18:09:28+00:00,Trustpilot,tegan great help everything sorted time
Seasalt Cornwall,Ethical Fashion,The loveliest cardigans,"I'm in love with Seasalt Cornwall's cardigans. The materials are high quality, soft and wear (and wash) really well. Colour choices are gorgeous, ordering is easy and delivery has always been swift. This is my go-to shop for knits, for sure.",5,2026-07-05 18:01:25+00:00,Trustpilot,im love seasalt cornwall cardigan material high quality soft wear wash really well colour choice gorgeous ordering easy delivery always swift goto shop knit sure
Seasalt Cornwall,Ethical Fashion,Best clothes company,"Best clothes company, the designs, colours and quality are superb, as is the customer service.",5,2026-07-05 18:00:08+00:00,Trustpilot,best clothes company design colour quality superb customer service
Seasalt Cornwall,Ethical Fashion,Quick delivery of goods and it was very…,Quick delivery of goods and it was very easy to return purchases. The staff in my local Leamington store are always helpful and pleasant.,5,2026-07-05 17:47:08+00:00,Trustpilot,quick delivery good easy return purchase staff local leamington store always helpful pleasant
Seasalt Cornwall,Ethical Fashion,Excellent all round.,"Excellent all round. I bought my dress in a bit of a panic, for a special occasion and when it arrived (a day early) I was so happy with the colours, style, fit and fabric.  Will feel very lovely at the do. And it was half price! I will definitely be shopping here again.",5,2026-07-05 17:37:15+00:00,Trustpilot,excellent round bought dress bit panic special occasion arrived day early happy colour style fit fabric feel lovely half price definitely shopping
Seasalt Cornwall,Ethical Fashion,I love everything Seasalt,"I love everything Seasalt, the style, the quality materials it’s just all top notch. I particularly like the fact they have a plus size range. Wonderful. Everything is delivered quickly, in great condition, packed well and sustainably. So easy to order also.",5,2026-07-05 17:34:34+00:00,Trustpilot,love everything seasalt style quality material top notch particularly like fact plus size range wonderful everything delivered quickly great condition packed well sustainably easy order also
Seasalt Cornwall,Ethical Fashion,Very dark green dress,"Bought this very dark green dress to wear to a funeral but I thought it would be a useful formal wear wardrobe addition not just for the funeral but for any smart occasion.  The dress was very comfortable to wear even though it is very dark and we were in a heatwave here. We had 3 hour car journey and it wasn't noticeably creased when I stepped out of the car.  It has washed well too. I suggest drying flat.  I bought it in the recent sale which was a bonus, and I'm really pleased with it.",5,2026-07-05 17:34:13+00:00,Trustpilot,bought dark green dress wear funeral thought would useful formal wear wardrobe addition funeral smart occasion dress comfortable wear even though dark heatwave hour car journey wasnt noticeably creased stepped car washed well suggest drying flat bought recent sale bonus im really pleased
ASOS,Fast Fashion,ASOS used to be my go-to online…,"ASOS used to be my go-to online retailer for trendy clothing and accessories, but it has gone downhill. Delivery is no longer truly “express —even Premier members often wait two or more days for their orders. The quality of the clothing has also noticeably declined. My biggest issue is ASOS’s Fair Trade Policy. Because ASOS has no physical stores, customers have to order clothing to try it on. Yet ASOS monitors how much you return and can restrict or even close your account based on your return rate, without giving you a meaningful opportunity to explain yourself. That’s simply not fair when many returns are due to sizing or fit—something you can’t know until you’ve received and tried on the items. A fair policy should recognize the reality of online shopping, not penalize loyal customers for ordering multiple sizes or styles to find the right fit. Between the slower shipping, declining quality, and this restrictive Fair Trade Policy, I’ve found other online retailers now offer a much better customer experience.",1,2026-07-05 17:24:56+00:00,Trustpilot,asos used goto online retailer trendy clothing accessory gone downhill delivery longer truly express even premier member often wait two day order quality clothing also noticeably declined biggest issue asoss fair trade policy asos physical store customer order clothing try yet asos monitor much return restrict even close account based return rate without giving meaningful opportunity explain thats simply fair many return due sizing fitsomething cant know youve received tried item fair policy recognize reality online shopping penalize loyal customer ordering multiple size style find right fit slower shipping declining quality restrictive fair trade policy ive found online retailer offer much better customer experience
Seasalt Cornwall,Ethical Fashion,The Customer Service agent,"The Customer Service agent, was charming and so very helpful.",5,2026-07-05 17:24:06+00:00,Trustpilot,customer service agent charming helpful
Seasalt Cornwall,Ethical Fashion,Very comfortable clothes made from…,Very comfortable clothes made from organic cotton,5,2026-07-05 17:21:03+00:00,Trustpilot,comfortable clothes made organic cotton
Seasalt Cornwall,Ethical Fashion,Excellent customer service,"Excellent customer service. Helpful, efficient and friendly.",5,2026-07-05 17:12:04+00:00,Trustpilot,excellent customer service helpful efficient friendly
Seasalt Cornwall,Ethical Fashion,Lovely quality and design,Lovely quality and design Sizing seems to vary a lot though Great prices in sale,4,2026-07-05 17:07:22+00:00,Trustpilot,lovely quality design sizing seems vary lot though great price sale
Seasalt Cornwall,Ethical Fashion,"Summer tops,","Got what my wife wanted , they fit perfectly and also got a bargain,  as available in the 2 for £40 offer. Excellent delivery time too.",5,2026-07-05 16:55:20+00:00,Trustpilot,got wife wanted fit perfectly also got bargain available offer excellent delivery time
Seasalt Cornwall,Ethical Fashion,Lovely dress,"Lovely dress, ideal for hot weather. Petite sizing is ideal and, of course, pockets!",5,2026-07-05 16:46:26+00:00,Trustpilot,lovely dress ideal hot weather petite sizing ideal course pocket
Seasalt Cornwall,Ethical Fashion,Lovely dress,Lovely dress. Quick delivery .,5,2026-07-05 16:41:32+00:00,Trustpilot,lovely dress quick delivery
Seasalt Cornwall,Ethical Fashion,Good service from website to delivery,"Good service from website to delivery. Dress is pretty, fabric slightly stiff - not a soft jersey.",4,2026-07-05 16:34:54+00:00,Trustpilot,good service website delivery dress pretty fabric slightly stiff soft jersey
Seasalt Cornwall,Ethical Fashion,Lovely dress,"Lovely dress, the material is lovely quality, very soft and beautifully made and it has pockets. The colour is just what I was looking for. Delivery was very prompt.",5,2026-07-05 16:33:26+00:00,Trustpilot,lovely dress material lovely quality soft beautifully made pocket colour looking delivery prompt
Seasalt Cornwall,Ethical Fashion,Cool and stylish,Cool and stylish. Perfect for Santorini.,5,2026-07-05 16:30:42+00:00,Trustpilot,cool stylish perfect santorini
Seasalt Cornwall,Ethical Fashion,Super dress,Super dress. Delivery fast. All very good,5,2026-07-05 16:30:34+00:00,Trustpilot,super dress delivery fast good
Seasalt Cornwall,Ethical Fashion,Fits perfectly,"Fits perfectly, very pretty colour and a fabulous discount. Thankyou",5,2026-07-05 16:25:04+00:00,Trustpilot,fit perfectly pretty colour fabulous discount thankyou
Seasalt Cornwall,Ethical Fashion,Very pleased with my dress great…,Very pleased with my dress great colours and a lovely fit thank you,5,2026-07-05 16:14:14+00:00,Trustpilot,pleased dress great colour lovely fit thank
Seasalt Cornwall,Ethical Fashion,Good online service and quality…,Good online service and quality garments.,5,2026-07-05 15:52:44+00:00,Trustpilot,good online service quality garment
ASOS,Fast Fashion,Gone to the dogs,I’ve been using asos for 15 plus years and it has gone down hill majorly and I’m not surprised people are shopping elsewhere. I could write an essay on the list of issues ( inconsistent sizing  and selling items that are pictured completely differently on the website to what you get)…but I’ll spare you as other reviews have mentioned this . But I ordered something in an emergency for a wake as someone had passed suddenly and there was a colour theme. It wasn’t delivered on time as they use crappy Royal Mail who everyone knows are terrible. You pay for premium so your NDD is free ..  so if you don’t get your NDD you get nothing in compensation… but if you pay for NDD they state they will refund you. So basically you get treated worse as a premium customer with zero care or compensation. 48 hours after ordering a NDD… and 3 hours to go before the event and I have no items or clothing to wear suitable for the occasion. If you return items because they weren’t as pictured on the website ( like the dress I bought last week) or because it didn’t arrive on time they will penalise you for returning even if it’s their fault your returning it! Customer care do not care and gone are the days when you could email them and receive a genuine response and help. They are terrible and the main reason I used them is as for the NDD which by my experience and the many reviews on here is a non existent service anymore. Even shein have better customer service than this! No point at all being a premier customer when you get zero help whatsoever and NDD does not happen . All they tell you to do is wait for the item and if you don’t want it to refuse the delivery ( but yet they use delivery services who just chuck your parcel outside so you can’t even do this ) Awful!,1,2026-07-05 15:46:55+00:00,Trustpilot,ive using asos plus year gone hill majorly im surprised people shopping elsewhere could write essay list issue inconsistent sizing selling item pictured completely differently website getbut ill spare review mentioned ordered something emergency wake someone passed suddenly colour theme wasnt delivered time use crappy royal mail everyone know terrible pay premium ndd free dont get ndd get nothing compensation pay ndd state refund basically get treated worse premium customer zero care compensation hour ordering ndd hour go event item clothing wear suitable occasion return item werent pictured website like dress bought last week didnt arrive time penalise returning even fault returning customer care care gone day could email receive genuine response help terrible main reason used ndd experience many review non existent service anymore even shein better customer service point premier customer get zero help whatsoever ndd happen tell wait item dont want refuse delivery yet use delivery service chuck parcel outside cant even awful
Seasalt Cornwall,Ethical Fashion,Great clothes,"Great clothes, great customer service, quick delivery when buying online, great quality, lovely colour pallet. The only thing I would change is that I can’t buy the petit trouser length in store and some products in this range sell out quick online. I tend to go in store to see the trousers in the flesh and then order online in the shorter length online.",5,2026-07-05 15:43:49+00:00,Trustpilot,great clothes great customer service quick delivery buying online great quality lovely colour pallet thing would change cant buy petit trouser length store product range sell quick online tend go store see trouser flesh order online shorter length online
Seasalt Cornwall,Ethical Fashion,great dress,"great dress, prompt delivery",5,2026-07-05 15:42:55+00:00,Trustpilot,great dress prompt delivery
Seasalt Cornwall,Ethical Fashion,Swift delivery,Swift delivery. Dress is a perfect fit. Delighted with it,5,2026-07-05 15:40:33+00:00,Trustpilot,swift delivery dress perfect fit delighted
Seasalt Cornwall,Ethical Fashion,Really appreciate the ethos of this…,"Really appreciate the ethos of this company, particularly around sustainability.  Well made products with a high standard finish .",4,2026-07-05 15:38:05+00:00,Trustpilot,really appreciate ethos company particularly around sustainability well made product high standard finish
Seasalt Cornwall,Ethical Fashion,Seasalt dresses are great quality,Quick efficient delivery service. Plus a great quality dress reduced in the sale.,5,2026-07-05 15:14:42+00:00,Trustpilot,quick efficient delivery service plus great quality dress reduced sale
Seasalt Cornwall,Ethical Fashion,A forever garment.,"I love this item. It’s exactly as described. Great design, great fit, beautiful colour and fabulous quality. I would love a linen jumpsuit in every colour!",5,2026-07-05 15:11:50+00:00,Trustpilot,love item exactly described great design great fit beautiful colour fabulous quality would love linen jumpsuit every colour
Seasalt Cornwall,Ethical Fashion,Great service,"Quick delivery, kept me informed via email, eco friendly packaging. Items arrived in great condition (not creased).",5,2026-07-05 15:07:31+00:00,Trustpilot,quick delivery kept informed via email eco friendly packaging item arrived great condition creased
Seasalt Cornwall,Ethical Fashion,High quality,"Quick delivery and high quality products - good fit, nice textiles and cute little details.",5,2026-07-05 15:03:13+00:00,Trustpilot,quick delivery high quality product good fit nice textile cute little detail
Seasalt Cornwall,Ethical Fashion,Great service lovely t shirtsitems…,Placed order easy enough and both items were delivered on time with plenty of correspondence as to when they would deliver. Loved both the t shirts I purchased,5,2026-07-05 14:58:36+00:00,Trustpilot,placed order easy enough item delivered time plenty correspondence would deliver loved shirt purchased
Seasalt Cornwall,Ethical Fashion,Lovely dress,"Lovely dress, felt comfortable immediately. The fit is good the material good and the pattern unusual.Delivery was pretty speedy",5,2026-07-05 14:58:34+00:00,Trustpilot,lovely dress felt comfortable immediately fit good material good pattern unusualdelivery pretty speedy
Seasalt Cornwall,Ethical Fashion,Easy website to use,"Easy website to use, delivery prompt.",4,2026-07-05 14:53:43+00:00,Trustpilot,easy website use delivery prompt
Seasalt Cornwall,Ethical Fashion,good service and quality…,As always good service and quality clothes delivered by Seasalt,5,2026-07-05 14:51:39+00:00,Trustpilot,always good service quality clothes delivered seasalt
Seasalt Cornwall,Ethical Fashion,Very happy,"This is my third transaction with Seasalt and I have to say your sizing app is amazing I have never bought a top that fits perfectly ever but now I have ,wonderful. Must thank my daughter who introduced me to Seasalt giving me gift vouchers for you collection. So l am a very happy customer and will definitely be back .",5,2026-07-05 14:42:39+00:00,Trustpilot,third transaction seasalt say sizing app amazing never bought top fit perfectly ever wonderful must thank daughter introduced seasalt giving gift voucher collection l happy customer definitely back
Seasalt Cornwall,Ethical Fashion,"Good quality dress,Excellent that it…","Good quality dress,Excellent that it was PETITE at last some choice for shorter ladies ,all other dresses are down on the floor.",5,2026-07-05 14:42:39+00:00,Trustpilot,good quality dressexcellent petite last choice shorter lady dress floor
Seasalt Cornwall,Ethical Fashion,Delivery when I expected it.,Delivery when I expected it. Very pleased with the tops I’d ordered. They have washed well and  I look forward to wearing them again.,5,2026-07-05 14:39:28+00:00,Trustpilot,delivery expected pleased top id ordered washed well look forward wearing
Seasalt Cornwall,Ethical Fashion,Guaranteed perfect fit for me every…,"Guaranteed perfect fit for me every time ! Quality dress. Never waited so long for it to be delivered, very unusual, took 7 days. My sister ordered one the same day & got hers in 2 days!",5,2026-07-05 14:38:10+00:00,Trustpilot,guaranteed perfect fit every time quality dress never waited long delivered unusual took day sister ordered one day got day
Seasalt Cornwall,Ethical Fashion,Really good quality,"Really good quality but at 5' 6"" they are a bit longer than expected, but I'm going to keep them. Read the returns policy but wasn't certain  if I could return them to a shop as I'd purchased them online.",4,2026-07-05 14:34:09+00:00,Trustpilot,really good quality bit longer expected im going keep read return policy wasnt certain could return shop id purchased online
Seasalt Cornwall,Ethical Fashion,Impressive speed of refund.,I ordered 3 tops but unfortunately they were not suitable. I returned them and was very impressed by the speed my refund came through.,5,2026-07-05 14:32:52+00:00,Trustpilot,ordered top unfortunately suitable returned impressed speed refund came
Seasalt Cornwall,Ethical Fashion,I just love Seasalt clothing,"I just love Seasalt clothing . The designs are beautiful , the materials  used are great and wash and wear well and the fit of the clothes is always perfect . I’m so addicted to their clothes that even though my wardrobe is already bursting at the seams I can’t stop myself from ordering more items ……",5,2026-07-05 14:32:47+00:00,Trustpilot,love seasalt clothing design beautiful material used great wash wear well fit clothes always perfect im addicted clothes even though wardrobe already bursting seam cant stop ordering item
Seasalt Cornwall,Ethical Fashion,Just a weird colour,Just a weird colour. Look washed out. Seemed nicer online.,3,2026-07-05 14:27:46+00:00,Trustpilot,weird colour look washed seemed nicer online
Seasalt Cornwall,Ethical Fashion,Lovely fit,"Lovely fit , perfect for every occasion.",5,2026-07-05 14:26:29+00:00,Trustpilot,lovely fit perfect every occasion
Boohoo,Fast Fashion,Dont order if youre from Switzerland,"If you order from Switzerland, just know that you have to place three payments; one for the actually order, second for the custom (zoll) and an extra payment for Asendia (Post) which was super annoying. As a big company, I would assume that you can make this costumer friendly and communicate when you place the order. This also means you cant really send items back because the shipping will cost you probably more than the ltems itself. I didnt recieve all in one parcel and the costumer service didnt know where the other parcel was. At the end I didnt recieve a part of my order and it took over 15 back and forth mails with AI Bots to receive a refund. One jeans had a brown stain on the back that looked like blood, I even send them a picture but they didnt agree with me so I let it go. I really didnt have a high expectation from a fast fashion brand but this was super unnecessary plus most of the clothes are going straight to the bin because they not great.",1,2026-07-05 14:25:04+00:00,Trustpilot,order switzerland know place three payment one actually order second custom zoll extra payment asendia post super annoying big company would assume make costumer friendly communicate place order also mean cant really send item back shipping cost probably ltems didnt recieve one parcel costumer service didnt know parcel end didnt recieve part order took back forth mail ai bot receive refund one jean brown stain back looked like blood even send picture didnt agree let go really didnt high expectation fast fashion brand super unnecessary plus clothes going straight bin great
Seasalt Cornwall,Ethical Fashion,Great quality clothes,"Great quality clothes, website easy to navigate and delivered on time. Love the paper packaging and the unique clothes inside. A brilliant Seasalt experience!",5,2026-07-05 14:24:29+00:00,Trustpilot,great quality clothes website easy navigate delivered time love paper packaging unique clothes inside brilliant seasalt experience
Seasalt Cornwall,Ethical Fashion,"Beautiful dress, excellent quality, fit and a great sale price!","This dress was a beautiful fit, hung well, premium quality that is breathable and comfy. I had many compliments after wearing it for only one day, which made me feel great! Would definitely buy from Seasalt again!",5,2026-07-05 14:21:49+00:00,Trustpilot,dress beautiful fit hung well premium quality breathable comfy many compliment wearing one day made feel great would definitely buy seasalt
Seasalt Cornwall,Ethical Fashion,Bought for my husband,"Bought for my husband. Arrived on time, fits well, feels nice. Has washed well on first wash.",5,2026-07-05 14:17:30+00:00,Trustpilot,bought husband arrived time fit well feel nice washed well first wash
Seasalt Cornwall,Ethical Fashion,I found sea salt web site easy to use…,"I found sea salt web site easy to use and my parcel was delivered on time, and the goods are of good quality quality. I will use them again",5,2026-07-05 14:15:58+00:00,Trustpilot,found sea salt web site easy use parcel delivered time good good quality quality use
Seasalt Cornwall,Ethical Fashion,Good service,Good service and easy returns when applicable.,4,2026-07-05 14:12:09+00:00,Trustpilot,good service easy return applicable
Seasalt Cornwall,Ethical Fashion,Always lovely fabrics,Always lovely fabrics and plenty of choice in larger sizes. Quick and reliable delivery via Royal Mail.,5,2026-07-05 14:08:45+00:00,Trustpilot,always lovely fabric plenty choice larger size quick reliable delivery via royal mail
Seasalt Cornwall,Ethical Fashion,true fit to size and so soft,the site was easy to use and as usual the dress was lovely and comfy and a lovley true fit.,5,2026-07-05 14:07:52+00:00,Trustpilot,site easy use usual dress lovely comfy lovley true fit
Seasalt Cornwall,Ethical Fashion,Quick delivery,"Quick delivery, style, fit and quality very good. Love Seasalt clothes.",5,2026-07-05 14:07:12+00:00,Trustpilot,quick delivery style fit quality good love seasalt clothes
Seasalt Cornwall,Ethical Fashion,Excellent dress delivered promptly,Excellent dress delivered promptly,5,2026-07-05 13:33:48+00:00,Trustpilot,excellent dress delivered promptly
Seasalt Cornwall,Ethical Fashion,Fast delivery and nice clothes,Fast delivery and nice clothes.  What's not to like??,5,2026-07-05 13:11:45+00:00,Trustpilot,fast delivery nice clothes whats like
Missguided,Fast Fashion,THIS IS A SCAM,"THIS IS A SCAM. Do not shop here. If I could leave zero stars I would. It’s fraud. You will never be able to return anything. The quality of the items is nothing like the website and then when you go to return it, they fraudulently give you the wrong address and process. They give you one address before you start and then after submitting the return they tell you that you only get your money back if you send the items to somewhere completely different. DO NOT SHOP HERE.",1,2026-07-05 12:23:04+00:00,Trustpilot,scam shop could leave zero star would fraud never able return anything quality item nothing like website go return fraudulently give wrong address process give one address start submitting return tell get money back send item somewhere completely different shop
Seasalt Cornwall,Ethical Fashion,Great dresses,Lovely dresses and a great fit,5,2026-07-05 12:21:29+00:00,Trustpilot,lovely dress great fit
Seasalt Cornwall,Ethical Fashion,Great products quality fabrics,Great products that are not fast fashion well made and wash well great quality fabrics that last. Great choice great service,5,2026-07-05 11:48:28+00:00,Trustpilot,great product fast fashion well made wash well great quality fabric last great choice great service
Rapanui,Ethical Fashion,Lovely clothes & excellent free & easy…,Lovely clothes & excellent free & easy returns policy .,5,2026-07-05 10:28:55+00:00,Trustpilot,lovely clothes excellent free easy return policy
ASOS,Fast Fashion,Worst customer service experience…,Worst customer service experience everytime - live chat staff are so incompetent it’s shocking,1,2026-07-05 01:58:11+00:00,Trustpilot,worst customer service experience everytime live chat staff incompetent shocking
Boohoo,Fast Fashion,Terrible customer service,"I am extremely disappointed with Boohoo’s customer service. I paid for Unlimited Next Day Delivery because I expected a reliable service. My first next day order arrived incorrectly, with the wrong items. I contacted customer service but they were unable to resolve the issue. As I urgently needed the correct items, I had no choice but to place a second order and rely on next day delivery again. Despite paying for the service again as my account did not recognise the previous unlimited delivery , this order was not delivered the next day either. I contacted Boohoo again, but this time I received no response at all. It’s incredibly frustrating to pay extra for a service that isn’t provided and then be ignored when trying to get help. Based on my experience, the customer service has been terrible and I would not recommend paying for Unlimited Next Day Delivery.",1,2026-07-05 01:24:01+00:00,Trustpilot,extremely disappointed boohoos customer service paid unlimited next day delivery expected reliable service first next day order arrived incorrectly wrong item contacted customer service unable resolve issue urgently needed correct item choice place second order rely next day delivery despite paying service account recognise previous unlimited delivery order delivered next day either contacted boohoo time received response incredibly frustrating pay extra service isnt provided ignored trying get help based experience customer service terrible would recommend paying unlimited next day delivery
Boohoo,Fast Fashion,Absolute S#%te,"Save your money and find somewhere else to spend it.  THE worse company in existence.  Cocked up my order by sending a duplicate item, wouldn't send the missing one until their mistake had been rectified by me.  Then needed 15 days for that to be processed.  Absolute s#@t show.",1,2026-07-04 22:40:36+00:00,Trustpilot,save money find somewhere else spend worse company existence cocked order sending duplicate item wouldnt send missing one mistake rectified needed day processed absolute st show
Boohoo,Fast Fashion,BOOHOO DO BETTER!!!,Truly disgusted with this company. Never had an issue with them in the past but it seems like they have truly gone downhill. Reading other reviews only further confirms this. Returned an item 23/06/2026 they received it 2 days later!!! I’ve had no communication from them whatsoever. I’ve had to go out of my way to contact them in order to receive an update about my refund. They first tried to lie and say they received it on 29/06 - I had to show proof for them to then say it was received on 25/06. Only to be told I have to wait 3 weeks or longer from the date of return to get my money back!!! This is outrageous! Never in my life have I experienced this before. I’m disappointed with them to say the least. This will be the last time Boohoo gets my money… Boohoo DO BETTER!!!,1,2026-07-04 21:22:17+00:00,Trustpilot,truly disgusted company never issue past seems like truly gone downhill reading review confirms returned item received day later ive communication whatsoever ive go way contact order receive update refund first tried lie say received show proof say received told wait week longer date return get money back outrageous never life experienced im disappointed say least last time boohoo get money boohoo better
Lucy & Yak,Ethical Fashion,Really bizarre sizing / returns charges,"I'm happy to pay for returns but I checked the size charts so closely prior to ordering, & ordered 2 different pairs of trousers both at a size XS. Unfortunately they are absolutely huge & in no way follow the size chart, so now I have to pay to return them when my goal was actually to just get the right size. They don't go any smaller & so I'd have to pay to have them taken up & taken in so I was left with no choice unfortunately. Please sort out your size information, it makes absolutely no sense.",1,2026-07-04 19:57:53+00:00,Trustpilot,im happy pay return checked size chart closely prior ordering ordered different pair trouser size x unfortunately absolutely huge way follow size chart pay return goal actually get right size dont go smaller id pay taken taken left choice unfortunately please sort size information make absolutely sense
ASOS,Fast Fashion,ASOS Return Process Is Unreliable and Unprofessional,"I am extremely disappointed with ASOS and their return handling process. This is now the second time that a return has been rejected on the grounds that the item was allegedly “used,” “washed,” and “smelling of detergent.” This is simply not true. It makes absolutely no sense to wash an item that I intend to return because it does not fit. There is clearly a serious issue within ASOS’s warehouse or return inspection process. Having the same problem occur twice is not a coincidence—it points to a systemic failure. As a result, I am now left without a refund for items that were returned in proper condition. Given the amount involved, I will be pursuing legal action through my legal protection insurance to recover my money. This situation is unacceptable. ASOS’s handling of customer returns is unprofessional and raises serious concerns about how they treat their customers.",1,2026-07-04 16:12:06+00:00,Trustpilot,extremely disappointed asos return handling process second time return rejected ground item allegedly used washed smelling detergent simply true make absolutely sense wash item intend return fit clearly serious issue within asoss warehouse return inspection process problem occur twice coincidenceit point systemic failure result left without refund item returned proper condition given amount involved pursuing legal action legal protection insurance recover money situation unacceptable asoss handling customer return unprofessional raise serious concern treat customer
ASOS,Fast Fashion,0 star 🌟 if possible,0 star 🌟 if possible Useless,1,2026-07-04 15:47:15+00:00,Trustpilot,star possible useless
ASOS,Fast Fashion,Great Experience again.,"Not sure what’s been going on with ASOS judging by these reviews on here. Placed my order on Friday with 24 hour delivery saying delivery Monday obviously due to weekend. Items turned up on the very next day, the Saturday morning. Absolutely top service and I’ve never had any problems in the past either. Were great and can’t believe they got my items here that fast. Will use again in future.",5,2026-07-04 14:50:44+00:00,Trustpilot,sure whats going asos judging review placed order friday hour delivery saying delivery monday obviously due weekend item turned next day saturday morning absolutely top service ive never problem past either great cant believe got item fast use future
Boohoo,Fast Fashion,Although the petite range is nice,"Although the petite range is nice, the trousers are always too long. They are more regular than petite",3,2026-07-04 14:42:37+00:00,Trustpilot,although petite range nice trouser always long regular petite
Rapanui,Ethical Fashion,Rapanui,"Very helpful, had to return an item I bought, but they were very helpful and polite, overall good",4,2026-07-04 14:21:20+00:00,Trustpilot,helpful return item bought helpful polite overall good
ASOS,Fast Fashion,Delivery times are just silly now,"Delivery times are just silly now, average seems to be 8 days, I had a premium account last year and never once received a next day delivery. Poor service, I live Edinburgh so why I'm waiting 8 days can I my be on ASOS.",2,2026-07-04 13:09:11+00:00,Trustpilot,delivery time silly average seems day premium account last year never received next day delivery poor service live edinburgh im waiting day asos
Boohoo,Fast Fashion,Shocking service,"Having only  even using Boohoo for a short time and cannot say I am happy.    Wrong items delivered twice, waiting an eternity for a refund I still do not have and no follow up when you raise customer service records.   All you get is platitude and very little action.    Do not use unless you are desperate.    Its like a full time job chasing all the issues.",1,2026-07-04 11:37:07+00:00,Trustpilot,even using boohoo short time say happy wrong item delivered twice waiting eternity refund still follow raise customer service record get platitude little action use unless desperate like full time job chasing issue
Boohoo,Fast Fashion,Kai at boohoo.was helpful and answered…,Kai at boohoo.was helpful and answered my query  quickly,5,2026-07-04 10:56:34+00:00,Trustpilot,kai boohoowas helpful answered query quickly
