Brand,Category,Title,Text,Rating,Date,Source,Clean_Text
ASOS,Fast Fashion,I am extremely disappointed with my…,"I am extremely disappointed with my recent experience with ASOS, which managed to go wrong at every stage of the process. For my birthday, I purchased a pair of shoes originally priced at £140. I used my birthday discount code, which reduced the price to £112, and then paid the full remaining balance using a gift card. The first issue occurred when the package arrived. The shoe box was in an incredibly poor condition, heavily damaged and worn. I immediately contacted customer service to report this. After trying on the shoes, I discovered that they were too small. I had ordered my usual size because ASOS listed the item as “true to size” and recommended ordering my regular size. Since the sizing advice was inaccurate, I requested an exchange for a UK 10.5. The exchange process appeared to be completed successfully, and ASOS even informed me that the replacement pair would be delivered on 13 June. I received the return confirmation email and promptly sent the shoes back using the provided return code. The returned shoes arrived at the warehouse yesterday, but I received no update regarding the exchange. This made me suspicious, so I contacted customer service on 11 June. To my surprise, I was told that ASOS’s system had failed to process my exchange request and that I would instead receive a refund back to my gift card. I explained that the exchange had failed due to an issue with THEIR system, not because of any action on my part, and that they should honour the exchange request. Unfortunately, no effort was made to resolve the problem. Since the exchange could not be completed, I at least requested that my birthday discount code be reinstated so I could reorder the shoes at the same price I originally paid. Without the code, I would have to pay the full £140. Customer service provided me with another code, but that code does not work on this item and cannot be used together with gift card payments. When I contacted them again, I was simply told that nothing more could be done. As a result, I am now being forced to pay £140 for a pair of shoes that I originally purchased for £112, entirely because of ASOS’s mistakes. This order has disappointed me three separate times: 1. The shoes arrived in a severely damaged box. 2. ASOS’s system failed to process my exchange request despite confirming it. 3. The replacement discount code provided by customer service does not work. The customer service was completely unhelpful throughout the entire process, and no reasonable solution was offered. I have been a customer for a long time, but this experience has completely destroyed my trust in ASOS.Terrible customer service, terrible systems, and an overall terrible customer experience. I will never shop with ASOS again.",1,2026-06-11 19:45:10+00:00,Trustpilot,extremely disappointed recent experience asos managed go wrong every stage process birthday purchased pair shoe originally priced used birthday discount code reduced price paid full remaining balance using gift card first issue occurred package arrived shoe box incredibly poor condition heavily damaged worn immediately contacted customer service report trying shoe discovered small ordered usual size asos listed item true size recommended ordering regular size since sizing advice inaccurate requested exchange uk exchange process appeared completed successfully asos even informed replacement pair would delivered june received return confirmation email promptly sent shoe back using provided return code returned shoe arrived warehouse yesterday received update regarding exchange made suspicious contacted customer service june surprise told asoss system failed process exchange request would instead receive refund back gift card explained exchange failed due issue system action part honour exchange request unfortunately effort made resolve problem since exchange could completed least requested birthday discount code reinstated could reorder shoe price originally paid without code would pay full customer service provided another code code work item used together gift card payment contacted simply told nothing could done result forced pay pair shoe originally purchased entirely asoss mistake order disappointed three separate time shoe arrived severely damaged box asoss system failed process exchange request despite confirming replacement discount code provided customer service work customer service completely unhelpful throughout entire process reasonable solution offered customer long time experience completely destroyed trust asosterrible customer service terrible system overall terrible customer experience never shop asos
ASOS,Fast Fashion,Packages are always late,Packages are always late. I pay for next day delivery and never get next day delivery. Now I am forced to pay for the return - I am returning a parcel that was late and I had to buy clothes I needed in a local shopping centre. And I still am asked to pay for the return... Poor customer service.,1,2026-06-11 17:08:15+00:00,Trustpilot,package always late pay next day delivery never get next day delivery forced pay return returning parcel late buy clothes needed local shopping centre still asked pay return poor customer service
Boohoo,Fast Fashion,Large Order - Returns POOR,"Placed a large order with Boohoo. It is no way clear on their website that you have to return everything individually to the brand, processing lots of returns and portals, which is SO time consuming. Plus the junk mail you get from every brand they sell is crazy. Will never buy from them again",1,2026-06-11 16:02:26+00:00,Trustpilot,placed large order boohoo way clear website return everything individually brand processing lot return portal time consuming plus junk mail get every brand sell crazy never buy
Missguided,Fast Fashion,AVOID!!,AVOID!!! The material is cheap and nasty. They make you use one of their carriers (which cost a fortune )to return the rubbish they send out. Then despite having picture proof that the goods were back with them on the 18th May I have no refund and they are now ignoring all emails. Absolutely shocking company,1,2026-06-11 15:34:18+00:00,Trustpilot,avoid material cheap nasty make use one carrier cost fortune return rubbish send despite picture proof good back th may refund ignoring email absolutely shocking company
ASOS,Fast Fashion,Worst customer service with that chat…,"Worst customer service with that chat box and no other opportunity to contact them… Wasted HOURS without any result. What a waste of time and money. Not using ASOS anymore, there are so many better options out there….",1,2026-06-11 14:37:39+00:00,Trustpilot,worst customer service chat box opportunity contact wasted hour without result waste time money using asos anymore many better option
ASOS,Fast Fashion,I’ve been with asos for as long as I…,"I’ve been with asos for as long as I can remember and honestly recently they’ve shocked me with how they’ve managed issues I’ve recently had with their service. Missing items with no visual proof of those same items being delivered and claimed I was being dishonest while requesting for a refund for a couple items. I cannot prove what I don’t have therefore there’s no reason to go the extra mile to lie even following return I made with a load of items but the communication in a follow that I’ve been trying to enquire for about a week that has been difficult as the asos customer demanding and unhelpful. Honestly a way to describe their service is one, dismissive, rude and outright unprofessional in my honest opinion.",1,2026-06-11 13:50:47+00:00,Trustpilot,ive asos long remember honestly recently theyve shocked theyve managed issue ive recently service missing item visual proof item delivered claimed dishonest requesting refund couple item prove dont therefore there reason go extra mile lie even following return made load item communication follow ive trying enquire week difficult asos customer demanding unhelpful honestly way describe service one dismissive rude outright unprofessional honest opinion
ASOS,Fast Fashion,Just awful,Just awful. You spend hours on live chat they then say they will email you a resolution and never do. They are just liars. This is after many of their mistakes and taking my money.,1,2026-06-11 12:21:23+00:00,Trustpilot,awful spend hour live chat say email resolution never liar many mistake taking money
Rapanui,Ethical Fashion,Superb product at a very reasonable price,"Superb product at a very reasonable price and very efficient and helpful customer service. Cotton fabric is soft and heavy, the fit is generous and stylish. I had to request an exchange for a smaller size and this was dealt with promptly and efficiently. Very impressed!",5,2026-06-11 11:38:00+00:00,Trustpilot,superb product reasonable price efficient helpful customer service cotton fabric soft heavy fit generous stylish request exchange smaller size dealt promptly efficiently impressed
Boohoo,Fast Fashion,Item missing from order which they are…,"Item missing from order which they are insisting I pay for, I reported it as missing as soon as I opened the package, the AI bot failed to resolve the issue 3 times, I repeatedly asked for a human to help with the issue, it has been over a month and no one has contacted me, I’m stuck in a cycle of reporting it with the AI bot and no one actually fixing the issue, they payment is due for a dress that never arrived, boohoo are stealing from me. Appalling.",1,2026-06-11 11:15:40+00:00,Trustpilot,item missing order insisting pay reported missing soon opened package ai bot failed resolve issue time repeatedly asked human help issue month one contacted im stuck cycle reporting ai bot one actually fixing issue payment due dress never arrived boohoo stealing appalling
ASOS,Fast Fashion,AWFUL AND INCOMPETENT - THEY HAVE FAILED TO DELIVER THE PARCEL ON MORE THAN ONE OCCASSION NOW,AWFUL AVOID LIKE THE PLAGUE,1,2026-06-11 11:15:39+00:00,Trustpilot,awful avoid like plague
Boohoo,Fast Fashion,I purchased several items from Boohoo…,I purchased several items from Boohoo but i decided to return a dress i had ordered using their paperless drop off service at my nearest Asda. The value of the dress was for £107.10 but for some reason they refunded me for another dress I had never returned that had a value of £13.40. Which i don't understand how you can confuse. I complained to their customer service but they told me they will not issue me a refund as lack of evidance!  even though i have all the evidence i need!!! I will never be using this awful company ever again! I will make sure no one else does!,1,2026-06-11 11:07:03+00:00,Trustpilot,purchased several item boohoo decided return dress ordered using paperless drop service nearest asda value dress reason refunded another dress never returned value dont understand confuse complained customer service told issue refund lack evidance even though evidence need never using awful company ever make sure one else
Missguided,Fast Fashion,If I could give 0 stars I would.,"If I could give 0 stars I would. Ordered some clothes for my holiday as I used to like missguided years ago, when they arrived the quality of the clothes were terrible and cheap. So I contacted them to return them which I had to do at my own cost, I sent them the proof of the postage and they’re now refusing to refund me. I’ve been back and forth with them for weeks and they won’t refund me. Wish ai had never ordered from them, will never ever order from them again and advise anyone DO NOT ORDER FROM THEM. I’m now out of pocket and I’m furious.",1,2026-06-11 10:31:33+00:00,Trustpilot,could give star would ordered clothes holiday used like missguided year ago arrived quality clothes terrible cheap contacted return cost sent proof postage theyre refusing refund ive back forth week wont refund wish ai never ordered never ever order advise anyone order im pocket im furious
Rapanui,Ethical Fashion,Delivery,Having an issue with a parcel going to wrong address. They sort this out fast and in the best way possible. Great job!,5,2026-06-11 10:25:22+00:00,Trustpilot,issue parcel going wrong address sort fast best way possible great job
ASOS,Fast Fashion,Misleading offers,"Sent me an email offering a discount. Tried using it within 24 hours but said it had expired. No expiry date on email. Customer Services, ifvyou can call them that, not interested. So beware misleading and unhelpful emails. Then cut me off chat. So i have no records",1,2026-06-11 09:27:10+00:00,Trustpilot,sent email offering discount tried using within hour said expired expiry date email customer service ifvyou call interested beware misleading unhelpful email cut chat record
Boohoo,Fast Fashion,"First time customer to this site, order issues","First time customer to this site. Bought a black jumpsuit, US size 12, received a 16. I contacted customer serivce to report the wrong size and asked for them not to charge me for the return since the error was on their end. They replied that since I ordered a 16, they would not be able to provide free shipping. I had to send them a screen shot of my receipt which clearly showed I ordered a 12, and then they agreed to comp the shipping. In the meantime, I placed a second order, again for a US size 12, and paid for Fedex 3-day shipping, as I originally ordered the jumpsuit to wear to a business conference. On the day I was supposed to receive the order, I checked the tracking, and the order was stuck in customs in Dallas. It remained stuck there for 5 days. Needless to say, I did not receive the order in time.  When the order finally arrived, it was the wrong size, AGAIN.  So now I am returning this item again. I have placed the order for a third and final time. It is a nice jumpsuit and exactly what I am looking for, so that is why I keep trying. I hope the 3rd time is the charm. What I think the issue is is that they have UK and US sizing, and someone at the warehouse keeps messing up or their labeling systems are not accurate.",2,2026-06-11 03:35:48+00:00,Trustpilot,first time customer site bought black jumpsuit u size received contacted customer serivce report wrong size asked charge return since error end replied since ordered would able provide free shipping send screen shot receipt clearly showed ordered agreed comp shipping meantime placed second order u size paid fedex day shipping originally ordered jumpsuit wear business conference day supposed receive order checked tracking order stuck custom dallas remained stuck day needless say receive order time order finally arrived wrong size returning item placed order third final time nice jumpsuit exactly looking keep trying hope rd time charm think issue uk u sizing someone warehouse keep messing labeling system accurate
Boohoo,Fast Fashion,I placed an order on 15th May 2026 and…,I placed an order on 15th May 2026 and it is now 11th June 2026. I have not received my items. I have tried getting in contact on multiple platforms - SMS messenger and email. Via email I have been asked to lodge a return - I have nothing to return I want a refund! I am only getting bot general responses getting me nowhere and no actual resolution. I just want a full refund including shipping and to speak to an actual person. Terrible service.,1,2026-06-11 02:50:40+00:00,Trustpilot,placed order th may th june received item tried getting contact multiple platform sm messenger email via email asked lodge return nothing return want refund getting bot general response getting nowhere actual resolution want full refund including shipping speak actual person terrible service
ASOS,Fast Fashion,Absolute scammers.,Absolute scammers.. payed for next day delivery and it never arrives next day.. ordered a few items for my holiday and still didnt arrive they take your money and thats it.. no customer service or direct line to speak to anyone.. crap.. useless..theives!!!,1,2026-06-10 23:54:44+00:00,Trustpilot,absolute scammer payed next day delivery never arrives next day ordered item holiday still didnt arrive take money thats customer service direct line speak anyone crap uselesstheives
Lucy & Yak,Ethical Fashion,Good quality clothes,"Good quality clothes, bought some dungarees which turned out to be too big and super easy to exchange it for another size - thank you!",5,2026-06-10 23:38:34+00:00,Trustpilot,good quality clothes bought dungaree turned big super easy exchange another size thank
ASOS,Fast Fashion,Zero stars if I could,"Zero stars if I could! This charging you £3.95 to send the parcel, then another £3.95 deducted from your refund is an absolute con. Especially when one of the items measured 3 sizes smaller than it should have. So not my fault. But speaking on a chat to an agent gets you nowhere, as they just don't get the point. I used to love ordering from here, but lately it's one big stress, because you get punished for returning things. Sort your sizing out then! Simple 🤷",1,2026-06-10 21:40:12+00:00,Trustpilot,zero star could charging send parcel another deducted refund absolute con especially one item measured size smaller fault speaking chat agent get nowhere dont get point used love ordering lately one big stress get punished returning thing sort sizing simple
Missguided,Fast Fashion,Return system is awful and should be…,Return system is awful and should be reported to retail authorities board.. do not buy from misguided you will not get your money back,1,2026-06-10 21:09:18+00:00,Trustpilot,return system awful reported retail authority board buy misguided get money back
