Topic,Negative,Neutral,Positive
-1,35.30612244897959,2.4489795918367347,62.244897959183675
0,59.95370370370371,3.009259259259259,37.03703703703704
1,3.431372549019608,0.0,96.56862745098039
2,8.333333333333332,4.166666666666666,87.5
3,0.0,0.0,100.0
4,0.0,8.333333333333332,91.66666666666666
5,0.0,6.451612903225806,93.54838709677419
6,67.85714285714286,0.0,32.142857142857146
7,34.78260869565217,4.3478260869565215,60.86956521739131
8,95.0,0.0,5.0
